filepath	target
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image1.jpg	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image2.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image3.jpg	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image4.jpg	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image5.jpg	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image6.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image7.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image8.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image9.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image10.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image11.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image12.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image13.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image14.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image15.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image16.jpg	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image17.jpg	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image18.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image19.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image20.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image21.jpg	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image22.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image23.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image24.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image25.jpg	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image26.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image27.jpg	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image28.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image29.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image30.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image31.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image32.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image33.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image34.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image35.jpg	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image36.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image37.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image38.jpg	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image39.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image40.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image41.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image42.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image43.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image44.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image45.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image46.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image47.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image48.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image49.jpg	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image50.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image51.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image52.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image53.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image54.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image55.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image56.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image57.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image58.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image59.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image60.jpg	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image61.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image62.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image63.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image64.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image65.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image66.jpg	[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image67.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image68.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
/remote-home/chenyitong/PJ_original_dataset/multilabel_modified/images/image69.jpg	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
